raw: 温格的球队终于又踢了一场经典的比赛，2比1战胜曼联之后枪手仍然留在了夺冠集团之内，
sen pred gold
就 O O
在 O O
《 B-gam B-gam
现 I-gam I-gam
代 I-gam I-gam
战 I-gam I-gam
争 I-gam I-gam
2 I-gam I-gam
》 I-gam I-gam
的 O O
第 O O
一 O O
部 O O
游 O O
戏 O O
实 O O
际 O O
画 O O
面 O O
视 O O
频 O O
公 O O
布 O O
之 O O
后 O O
， O O
《 B-gam B-boo
g I-gam I-boo
a I-gam I-boo
m I-gam I-boo
e I-gam I-boo
i I-gam I-boo
n I-gam I-boo
f I-gam I-boo
o I-gam I-boo
r I-gam I-boo
m I-gam I-boo
e I-gam I-boo
r I-gam I-boo
》 I-gam I-boo


raw: 据开发商贝塞斯达表示，立方体迷阵是最令人深刻的MODS之一。
sen pred gold
据 O O
开 O B-pos
发 O I-pos
商 O I-pos
贝 B-com B-com
塞 I-com I-com
斯 I-com I-com
达 I-com I-com
表 O O
示 O O
， O O
立 B-gam O
方 I-gam O
体 I-gam O
迷 I-gam O
阵 I-gam O
是 O O
最 O O
令 O O
人 O O
深 O O
刻 O O
的 O O
m B-gam O
o I-gam O
d I-gam O
s I-gam O
之 O O
一 O O
。 O O


raw: 我是几年前开始玩这款游戏的，那时我在新加坡并以企业的形式成立Scythe游戏，
sen pred gold
我 O O
是 O O
几 O O
年 O O
前 O O
开 O O
始 O O
玩 O O
这 O O
款 O O
游 O O
戏 O O
的 O O
， O O
那 O O
时 O O
我 O O
在 O O
新 B-add B-add
加 I-add I-add
坡 I-add I-add
并 O O
以 O O
企 O O
业 O O
的 O O
形 O O
式 O O
成 O O
立 O O
s B-gam B-com
c I-gam I-com
y I-gam I-com
t I-gam I-com
h I-gam I-com
e I-gam I-com
游 O I-com
戏 O I-com
， O O


raw: 一名大股东扬言将于本周稍后向汇丰薪酬委员会提出这问题。
sen pred gold
一 O O
名 O O
大 O O
股 O B-pos
东 O I-pos
扬 O O
言 O O
将 O O
于 O O
本 O O
周 O O
稍 O O
后 O O
向 O O
汇 B-gov B-org
丰 I-gov I-org
薪 I-gov I-org
酬 I-gov I-org
委 I-gov I-org
员 I-gov I-org
会 I-gov I-org
提 O O
出 O O
这 O O
问 O O
题 O O
。 O O


raw: 晨报讯（记者杨莉通讯员王媛）信用卡欠款，银行多次催要均不理会。昨日，
sen pred gold
晨 B-boo O
报 I-boo O
讯 O O
（ O O
记 B-pos B-pos
者 I-pos I-pos
杨 B-nam B-nam
莉 I-nam I-nam
通 B-pos B-pos
讯 I-pos I-pos
员 I-pos I-pos
王 B-nam B-nam
媛 I-nam I-nam
） O O
信 O O
用 O O
卡 O O
欠 O O
款 O O
， O O
银 O O
行 O O
多 O O
次 O O
催 O O
要 O O
均 O O
不 O O
理 O O
会 O O
。 O O
昨 O O
日 O O
， O O


raw: bet365同时压低了主胜赔和客胜赔两项，客胜赔降幅为0.20，足彩防客胜。
sen pred gold
b B-com B-com
e I-com I-com
t I-com I-com
3 I-com I-com
6 I-com I-com
5 I-com I-com
同 O O
时 O O
压 O O
低 O O
了 O O
主 O O
胜 O O
赔 O O
和 O O
客 O O
胜 O O
赔 O O
两 O O
项 O O
， O O
客 O O
胜 O O
赔 O O
降 O O
幅 O O
为 O O
0 O O
. O O
2 O O
0 O O
， O O
足 O B-org
彩 O I-org
防 O O
客 O O
胜 O O
。 O O


raw: 我们县委要打造崇礼中国的雪都，刚才提到有机农业示范区，章老师也说过了，我们崇礼县不是是旅游大县，
sen pred gold
我 O O
们 O O
县 B-gov B-pos
委 I-gov I-pos
要 O O
打 O O
造 O O
崇 B-add O
礼 I-add O
中 O O
国 O O
的 O O
雪 O O
都 O O
， O O
刚 O O
才 O O
提 O O
到 O O
有 O O
机 O O
农 O O
业 O O
示 O O
范 O O
区 O O
， O O
章 O O
老 B-pos O
师 I-pos O
也 O O
说 O O
过 O O
了 O O
， O O
我 O O
们 O O
崇 B-add B-add
礼 I-add I-add
县 I-add I-add
不 O O
是 O O
是 O O
旅 O O
游 O O
大 O O
县 O O
， O O


raw: 分管经济适用房销售的市住房保障管理中心主任冷山德负有主要领导责任，免去其中心主任职务；
sen pred gold
分 O O
管 O O
经 O O
济 O O
适 O O
用 O O
房 O O
销 O O
售 O O
的 O O
市 B-gov B-gov
住 I-gov I-gov
房 I-gov I-gov
保 I-gov I-gov
障 I-gov I-gov
管 I-gov I-gov
理 I-gov I-gov
中 I-gov I-gov
心 I-gov I-gov
主 B-pos B-pos
任 I-pos I-pos
冷 B-nam B-nam
山 I-nam I-nam
德 I-nam I-nam
负 O O
有 O O
主 O O
要 O O
领 O O
导 O O
责 O O
任 O O
， O O
免 O O
去 O O
其 O O
中 B-pos O
心 I-pos O
主 I-pos B-pos
任 I-pos I-pos
职 O O
务 O O
； O O


raw: 德里克说，两架图－95ｍｓ战略轰炸机24日从俄罗斯萨拉托夫州恩格斯空军基地起飞，
sen pred gold
德 B-nam B-nam
里 I-nam I-nam
克 I-nam I-nam
说 O O
， O O
两 O O
架 O O
图 O O
－ O O
9 O O
5 O O
ｍ O O
ｓ O O
战 O O
略 O O
轰 O O
炸 O O
机 O O
2 O O
4 O O
日 O O
从 O O
俄 B-add B-add
罗 I-add I-add
斯 I-add I-add
萨 I-add I-add
拉 I-add I-add
托 I-add I-add
夫 I-add I-add
州 I-add I-add
恩 I-add I-add
格 I-add I-add
斯 I-add I-add
空 I-add B-gov
军 I-add I-gov
基 I-add I-gov
地 I-add I-gov
起 O O
飞 O O
， O O


raw: 结识共产党人刘澜波、孙志远等，接受中共的抗日主张。
sen pred gold
结 O O
识 O O
共 B-pos B-gov
产 I-pos I-gov
党 I-pos I-gov
人 O O
刘 B-nam B-nam
澜 I-nam I-nam
波 I-nam I-nam
、 O O
孙 B-nam B-nam
志 I-nam I-nam
远 I-nam I-nam
等 O O
， O O
接 O O
受 O O
中 B-gov B-gov
共 I-gov I-gov
的 O O
抗 O O
日 O O
主 O O
张 O O
。 O O


raw: 沙兰及其他十名梵高名画《罂粟花》失窃案相关人员3年监禁。埃及文化部长胡斯尼8月21日证实，
sen pred gold
沙 B-nam B-nam
兰 I-nam I-nam
及 O O
其 O O
他 O O
十 O O
名 O O
梵 B-nam B-nam
高 I-nam I-nam
名 O O
画 O O
《 B-boo B-boo
罂 I-boo I-boo
粟 I-boo I-boo
花 I-boo I-boo
》 I-boo I-boo
失 O O
窃 O O
案 O O
相 O O
关 O O
人 O O
员 O O
3 O O
年 O O
监 O O
禁 O O
。 O O
埃 B-gov B-pos
及 I-gov I-pos
文 B-pos I-pos
化 I-pos I-pos
部 I-pos I-pos
长 I-pos I-pos
胡 B-nam B-nam
斯 I-nam I-nam
尼 I-nam I-nam
8 O O
月 O O
2 O O
1 O O
日 O O
证 O O
实 O O
， O O


raw: Chronicles)》与最新7代正统续篇的《伊苏7(YsSEVEN)》。
sen pred gold
c B-gam O
h I-gam O
r I-gam O
o I-gam O
n I-gam O
i I-gam O
c I-gam O
l I-gam O
e I-gam O
s I-gam O
) I-gam O
》 I-gam O
与 O O
最 O O
新 O O
7 O O
代 O O
正 O O
统 O O
续 O O
篇 O O
的 O O
《 B-gam B-gam
伊 I-gam I-gam
苏 I-gam I-gam
7 I-gam I-gam
( I-gam I-gam
y I-gam I-gam
s I-gam I-gam
s I-gam I-gam
e I-gam I-gam
v I-gam I-gam
e I-gam I-gam
n I-gam I-gam
) I-gam I-gam
》 I-gam I-gam
。 O O


raw: 紫英版《仙剑奇侠传四》，附赠“紫英卡通钥匙圈”。
sen pred gold
紫 O B-nam
英 O I-nam
版 O O
《 B-gam B-gam
仙 I-gam I-gam
剑 I-gam I-gam
奇 I-gam I-gam
侠 I-gam I-gam
传 I-gam I-gam
四 I-gam I-gam
》 I-gam I-gam
， O O
附 O O
赠 O O
[UNK] O O
紫 O B-nam
英 O I-nam
卡 O O
通 O O
钥 O O
匙 O O
圈 O O
[UNK] O O
。 O O


raw: 包括古伊萨这样的西甲最佳射手，这对球队实力影响很大，而维尔瓦联赛中更是遭遇了4连败，
sen pred gold
包 O O
括 O O
古 B-nam B-nam
伊 I-nam I-nam
萨 I-nam I-nam
这 O O
样 O O
的 O O
西 B-org B-org
甲 I-org I-org
最 O B-pos
佳 O I-pos
射 O I-pos
手 O I-pos
， O O
这 O O
对 O O
球 O O
队 O O
实 O O
力 O O
影 O O
响 O O
很 O O
大 O O
， O O
而 O O
维 B-org B-org
尔 I-org I-org
瓦 I-org I-org
联 O O
赛 O O
中 O O
更 O O
是 O O
遭 O O
遇 O O
了 O O
4 O O
连 O O
败 O O
， O O


raw: 蓝洞，顾名思义，意指蓝色的洞穴，会自动发出蓝色的光，远在古罗马时代，就有人跑到蓝洞内探险，
sen pred gold
蓝 B-sce B-sce
洞 I-sce I-sce
， O O
顾 O O
名 O O
思 O O
义 O O
， O O
意 O O
指 O O
蓝 O O
色 O O
的 O O
洞 O O
穴 O O
， O O
会 O O
自 O O
动 O O
发 O O
出 O O
蓝 O O
色 O O
的 O O
光 O O
， O O
远 O O
在 O O
古 O O
罗 O O
马 O O
时 O O
代 O O
， O O
就 O O
有 O O
人 O O
跑 O O
到 O O
蓝 O B-sce
洞 O I-sce
内 O O
探 O O
险 O O
， O O


raw: 绰斯甲观音寺位于金川县观音桥区，寺庙内供奉的是四臂观世音菩萨，是著名的藏传佛教圣地，
sen pred gold
绰 B-sce B-sce
斯 I-sce I-sce
甲 I-sce I-sce
观 I-sce I-sce
音 I-sce I-sce
寺 I-sce I-sce
位 O O
于 O O
金 B-add B-add
川 I-add I-add
县 I-add I-add
观 I-add I-add
音 I-add I-add
桥 I-add I-add
区 I-add I-add
， O O
寺 O O
庙 O O
内 O O
供 O O
奉 O O
的 O O
是 O O
四 O O
臂 O O
观 O O
世 O O
音 O O
菩 O B-pos
萨 O I-pos
， O O
是 O O
著 O O
名 O O
的 O O
藏 O O
传 O O
佛 O O
教 O O
圣 O O
地 O O
， O O


raw: 成为了WCG历史上最好的魔兽争霸选手，并且仍然是目前唯一一位获得WCG冠军的兽族选手。
sen pred gold
成 O O
为 O O
了 O O
w B-org B-org
c I-org I-org
g I-org I-org
历 O O
史 O O
上 O O
最 O O
好 O O
的 O O
魔 B-gam B-gam
兽 I-gam I-gam
争 I-gam I-gam
霸 I-gam I-gam
选 B-pos B-pos
手 I-pos I-pos
， O O
并 O O
且 O O
仍 O O
然 O O
是 O O
目 O O
前 O O
唯 O O
一 O O
一 O O
位 O O
获 O O
得 O O
w B-gam B-org
c I-gam I-org
g I-gam I-org
冠 O O
军 O O
的 O O
兽 O O
族 O O
选 B-pos B-pos
手 I-pos I-pos
。 O O


raw: 未血绸缪》＋《潜水钟与蝴蝶》”的三位一体，新领导班子不但没沦为业界的笑柄，反倒让人由衷地感慨“
sen pred gold
未 B-mov B-mov
血 I-mov I-mov
绸 I-mov I-mov
缪 I-mov I-mov
》 I-mov I-mov
＋ O O
《 B-mov B-mov
潜 I-mov I-mov
水 I-mov I-mov
钟 I-mov I-mov
与 I-mov I-mov
蝴 I-mov I-mov
蝶 I-mov I-mov
》 I-mov I-mov
[UNK] O O
的 O O
三 O O
位 O O
一 O O
体 O O
， O O
新 O O
领 O B-pos
导 O I-pos
班 O O
子 O O
不 O O
但 O O
没 O O
沦 O O
为 O O
业 O O
界 O O
的 O O
笑 O O
柄 O O
， O O
反 O O
倒 O O
让 O O
人 O O
由 O O
衷 O O
地 O O
感 O O
慨 O O
[UNK] O O


raw: 再拿拍实例这个事情说。假如我要拍长城，有的人就说要拍烽火台，而烽火台很少，
sen pred gold
再 O O
拿 O O
拍 O O
实 O O
例 O O
这 O O
个 O O
事 O O
情 O O
说 O O
。 O O
假 O O
如 O O
我 O O
要 O O
拍 O O
长 B-sce B-sce
城 I-sce I-sce
， O O
有 O O
的 O O
人 O O
就 O O
说 O O
要 O O
拍 O O
烽 B-sce O
火 I-sce O
台 I-sce O
， O O
而 O O
烽 B-sce O
火 I-sce O
台 I-sce O
很 O O
少 O O
， O O


raw: johnwalsh），黛博拉·格里本（deborahgribbon）以及迈克尔·布兰德（
sen pred gold
j B-nam B-nam
o I-nam I-nam
h I-nam I-nam
n I-nam I-nam
w I-nam I-nam
a I-nam I-nam
l I-nam I-nam
s I-nam I-nam
h I-nam I-nam
） O I-nam
， O O
黛 B-nam B-nam
博 I-nam I-nam
拉 I-nam I-nam
· I-nam I-nam
格 I-nam I-nam
里 I-nam I-nam
本 I-nam I-nam
（ O I-nam
d B-nam I-nam
e I-nam I-nam
b I-nam I-nam
o I-nam I-nam
r I-nam I-nam
a I-nam I-nam
h I-nam I-nam
g I-nam I-nam
r I-nam I-nam
i I-nam I-nam
b I-nam I-nam
b I-nam I-nam
o I-nam I-nam
n I-nam I-nam
） O I-nam
以 O O
及 O O
迈 B-nam B-nam
克 I-nam I-nam
尔 I-nam I-nam
· I-nam I-nam
布 I-nam I-nam
兰 I-nam I-nam
德 I-nam I-nam
（ O O


raw: 3、在新疆和四川地震灾区分两批培训种子教师（中小学心理辅导老师，有经验的班主任）从事班级辅导的能力。
sen pred gold
3 O O
、 O O
在 O O
新 B-add B-add
疆 I-add I-add
和 O O
四 B-add B-add
川 I-add I-add
地 I-add O
震 I-add O
灾 I-add O
区 I-add O
分 O O
两 O O
批 O O
培 O O
训 O O
种 O O
子 O O
教 B-pos B-pos
师 I-pos I-pos
（ O O
中 O O
小 O O
学 O O
心 B-pos B-pos
理 I-pos I-pos
辅 I-pos I-pos
导 I-pos I-pos
老 I-pos I-pos
师 I-pos I-pos
， O O
有 O O
经 O O
验 O O
的 O O
班 B-pos B-pos
主 I-pos I-pos
任 I-pos I-pos
） O O
从 O O
事 O O
班 O O
级 O O
辅 O O
导 O O
的 O O
能 O O
力 O O
。 O O


raw: 房地产经纪公司的员工告诉记者，回龙观及天通苑附近的中介公司，几乎都碰到过满5年经适房房主前来咨询“
sen pred gold
房 B-com B-com
地 I-com I-com
产 I-com I-com
经 O I-com
纪 O I-com
公 O I-com
司 O I-com
的 O O
员 O O
工 O O
告 O O
诉 O O
记 B-pos B-pos
者 I-pos I-pos
， O O
回 B-add B-add
龙 I-add I-add
观 I-add I-add
及 O O
天 B-add B-add
通 I-add I-add
苑 I-add I-add
附 O O
近 O O
的 O O
中 O O
介 O O
公 O O
司 O O
， O O
几 O O
乎 O O
都 O O
碰 O O
到 O O
过 O O
满 O O
5 O O
年 O O
经 O O
适 O O
房 O O
房 O O
主 O O
前 O O
来 O O
咨 O O
询 O O
[UNK] O O


raw: 建设部等七部委联合发布的《经济适用住房管理办法》也指出，经济适用住房购房人拥有有限产权。
sen pred gold
建 B-gov B-gov
设 I-gov I-gov
部 I-gov I-gov
等 O O
七 B-gov O
部 I-gov O
委 I-gov O
联 O O
合 O O
发 O O
布 O O
的 O O
《 B-boo B-boo
经 I-boo I-boo
济 I-boo I-boo
适 I-boo I-boo
用 I-boo I-boo
住 I-boo I-boo
房 I-boo I-boo
管 I-boo I-boo
理 I-boo I-boo
办 I-boo I-boo
法 I-boo I-boo
》 I-boo I-boo
也 O O
指 O O
出 O O
， O O
经 O O
济 O O
适 O O
用 O O
住 O O
房 O O
购 O O
房 O O
人 O O
拥 O O
有 O O
有 O O
限 O O
产 O O
权 O O
。 O O


raw: 都是主队拿到了3分。从赔率看，博彩公司多开出一三四的赔率组合，bwin、博天堂等都早早把主胜赔压低，
sen pred gold
都 O O
是 O O
主 O O
队 O O
拿 O O
到 O O
了 O O
3 O O
分 O O
。 O O
从 O O
赔 O O
率 O O
看 O O
， O O
博 B-com O
彩 I-com O
公 I-com O
司 I-com O
多 O O
开 O O
出 O O
一 O O
三 O O
四 O O
的 O O
赔 O O
率 O O
组 O O
合 O O
， O O
b B-com B-com
w I-com I-com
i I-com I-com
n I-com I-com
、 O O
博 B-com B-com
天 I-com I-com
堂 I-com I-com
等 O O
都 O O
早 O O
早 O O
把 O O
主 O O
胜 O O
赔 O O
压 O O
低 O O
， O O


raw: “澳大利亚政府奖学金计划”扩大了奖学金发放范围，使得更多学生能申领奖学金，加上留澳生活费用降低，
sen pred gold
[UNK] O O
澳 B-gov O
大 I-gov O
利 I-gov O
亚 I-gov O
政 I-gov O
府 I-gov O
奖 O O
学 O O
金 O O
计 O O
划 O O
[UNK] O O
扩 O O
大 O O
了 O O
奖 O O
学 O O
金 O O
发 O O
放 O O
范 O O
围 O O
， O O
使 O O
得 O O
更 O O
多 O O
学 B-pos B-pos
生 I-pos I-pos
能 O O
申 O O
领 O O
奖 O O
学 O O
金 O O
， O O
加 O O
上 O O
留 O O
澳 O O
生 O O
活 O O
费 O O
用 O O
降 O O
低 O O
， O O


raw: 完全可以在任9玩法上选择回避，正如上周《大赢家》在报纸上所提醒的那样：《乘虚而入，立陶宛可能爆冷》。
sen pred gold
完 O O
全 O O
可 O O
以 O O
在 O O
任 O O
9 O O
玩 O O
法 O O
上 O O
选 O O
择 O O
回 O O
避 O O
， O O
正 O O
如 O O
上 O O
周 O O
《 B-boo B-boo
大 I-boo I-boo
赢 I-boo I-boo
家 I-boo I-boo
》 I-boo I-boo
在 O O
报 O O
纸 O O
上 O O
所 O O
提 O O
醒 O O
的 O O
那 O O
样 O O
： O O
《 B-gam B-boo
乘 I-gam I-boo
虚 I-gam I-boo
而 I-gam I-boo
入 I-gam I-boo
， I-gam I-boo
立 I-gam I-boo
陶 I-gam I-boo
宛 I-gam I-boo
可 I-gam I-boo
能 I-gam I-boo
爆 I-gam I-boo
冷 I-gam I-boo
》 I-gam I-boo
。 O O


raw: 泗水县政府办今年3月份开始禁止私挖砭石，许多村庄还组织了巡逻队，发现盗挖情况立即阻止。
sen pred gold
泗 B-gov B-gov
水 I-gov I-gov
县 I-gov I-gov
政 I-gov I-gov
府 I-gov I-gov
办 I-gov I-gov
今 O O
年 O O
3 O O
月 O O
份 O O
开 O O
始 O O
禁 O O
止 O O
私 O O
挖 O O
砭 O O
石 O O
， O O
许 O O
多 O O
村 O O
庄 O O
还 O O
组 O O
织 O O
了 O O
巡 O B-org
逻 O I-org
队 O I-org
， O O
发 O O
现 O O
盗 O O
挖 O O
情 O O
况 O O
立 O O
即 O O
阻 O O
止 O O
。 O O


raw: 耶茨执导）的艾美达·斯丹顿、《发胶》（hairspray，亚当·山克曼执导）的米切尔·
sen pred gold
耶 B-nam B-nam
茨 I-nam I-nam
执 O O
导 O O
） O O
的 O O
艾 B-nam B-nam
美 I-nam I-nam
达 I-nam I-nam
· I-nam I-nam
斯 I-nam I-nam
丹 I-nam I-nam
顿 I-nam I-nam
、 O O
《 B-mov B-mov
发 I-mov I-mov
胶 I-mov I-mov
》 I-mov I-mov
（ O O
h B-mov B-nam
a I-mov I-nam
i I-mov I-nam
r I-mov I-nam
s I-mov I-nam
p I-mov I-nam
r I-mov I-nam
a I-mov I-nam
y I-mov I-nam
， O O
亚 B-nam B-nam
当 I-nam I-nam
· I-nam I-nam
山 I-nam I-nam
克 I-nam I-nam
曼 I-nam I-nam
执 O O
导 O O
） O O
的 O O
米 B-nam B-nam
切 I-nam I-nam
尔 I-nam I-nam
· I-nam O


raw: 黑暗之心》也是《战线》的灵感所在，或者说，它才是《现代启示录》与《战线》的共同的灵感来源。
sen pred gold
黑 B-gam B-boo
暗 I-gam I-boo
之 I-gam I-boo
心 I-gam I-boo
》 I-gam I-boo
也 O O
是 O O
《 B-gam B-boo
战 I-gam I-boo
线 I-gam I-boo
》 I-gam I-boo
的 O O
灵 O O
感 O O
所 O O
在 O O
， O O
或 O O
者 O O
说 O O
， O O
它 O O
才 O O
是 O O
《 B-gam B-boo
现 I-gam I-boo
代 I-gam I-boo
启 I-gam I-boo
示 I-gam I-boo
录 I-gam I-boo
》 I-gam I-boo
与 O O
《 B-gam B-boo
战 I-gam I-boo
线 I-gam I-boo
》 I-gam I-boo
的 O O
共 O O
同 O O
的 O O
灵 O O
感 O O
来 O O
源 O O
。 O O


raw: 环顾脚下的路易港城区，你可以看到硬币上的中央银行，象征着这个国家的金融系统，
sen pred gold
环 O O
顾 O O
脚 O O
下 O O
的 O O
路 B-add B-sce
易 I-add I-sce
港 I-add I-sce
城 I-add I-sce
区 I-add I-sce
， O O
你 O O
可 O O
以 O O
看 O O
到 O O
硬 O O
币 O O
上 O O
的 O O
中 B-gov B-gov
央 I-gov I-gov
银 I-gov I-gov
行 I-gov I-gov
， O O
象 O O
征 O O
着 O O
这 O O
个 O O
国 O O
家 O O
的 O O
金 O O
融 O O
系 O O
统 O O
， O O


raw: 蔡康永去年砸500万元（约100万人民币），请朋友在英国画廊买下以色列家具设计师ron
sen pred gold
蔡 B-nam B-nam
康 I-nam I-nam
永 I-nam I-nam
去 O O
年 O O
砸 O O
5 O O
0 O O
0 O O
万 O O
元 O O
（ O O
约 O O
1 O O
0 O O
0 O O
万 O O
人 O O
民 O O
币 O O
） O O
， O O
请 O O
朋 O O
友 O O
在 O O
英 B-add O
国 I-add O
画 I-add O
廊 I-add O
买 O O
下 O O
以 O O
色 O O
列 O O
家 O O
具 O O
设 B-pos B-pos
计 I-pos I-pos
师 I-pos I-pos
r B-nam B-nam
o I-nam I-nam
n I-nam I-nam


raw: 传奇霸业圈圈ooo:好爽大泽乡为什么会下雨:要不就是斗地主stephon
sen pred gold
传 B-nam B-gam
奇 I-nam I-gam
霸 I-nam I-gam
业 I-nam I-gam
圈 I-nam O
圈 I-nam O
o B-nam O
o I-nam O
o I-nam O
: O O
好 O O
爽 O O
大 B-add O
泽 I-add O
乡 I-add O
为 O O
什 O O
么 O O
会 O O
下 O O
雨 O O
: O O
要 O O
不 O O
就 O O
是 O O
斗 B-gam B-gam
地 I-gam I-gam
主 I-gam I-gam
s B-nam O
t I-nam O
e I-nam O
p I-nam O
h I-nam O
o I-nam O
n O O


raw: 中国人民银行广州分行一位不愿透露姓名的人士对记者表示，这种现象的产生，
sen pred gold
中 B-com B-gov
国 I-com I-gov
人 I-com I-gov
民 I-com I-gov
银 I-com I-gov
行 I-com I-gov
广 I-com I-gov
州 I-com I-gov
分 I-com I-gov
行 I-com I-gov
一 O O
位 O O
不 O O
愿 O O
透 O O
露 O O
姓 O O
名 O O
的 O O
人 O O
士 O O
对 O O
记 B-pos B-pos
者 I-pos I-pos
表 O O
示 O O
， O O
这 O O
种 O O
现 O O
象 O O
的 O O
产 O O
生 O O
， O O


raw: 开放时间：赶往北邙山赴约～离开北邙山。
sen pred gold
开 O O
放 O O
时 O O
间 O O
： O O
赶 O O
往 O O
北 B-sce B-add
[UNK] I-sce I-add
山 I-sce I-add
赴 O O
约 O O
～ O O
离 O O
开 O O
北 B-sce B-add
[UNK] I-sce I-add
山 I-sce I-add
。 O O


raw: 我就在大陆进行投资，主要是在北京。当时第一个我一定要找到的就是三联书店和《读书》杂志，
sen pred gold
我 O O
就 O O
在 O O
大 O O
陆 O O
进 O O
行 O O
投 O O
资 O O
， O O
主 O O
要 O O
是 O O
在 O O
北 B-add B-add
京 I-add I-add
。 O O
当 O O
时 O O
第 O O
一 O O
个 O O
我 O O
一 O O
定 O O
要 O O
找 O O
到 O O
的 O O
就 O O
是 O O
三 B-com B-add
联 I-com I-add
书 I-com I-add
店 I-com I-add
和 O O
《 B-boo B-boo
读 I-boo I-boo
书 I-boo I-boo
》 I-boo I-boo
杂 O O
志 O O
， O O


raw: 台湾的银行业者对于银联卡的商机评估较乐观。台新银行信用卡处资深副总经理邱丰凯认为，开放银联卡后，
sen pred gold
台 B-add B-add
湾 I-add I-add
的 O O
银 O O
行 O O
业 O O
者 O O
对 O O
于 O O
银 O O
联 O O
卡 O O
的 O O
商 O O
机 O O
评 O O
估 O O
较 O O
乐 O O
观 O O
。 O O
台 B-com O
新 I-com O
银 I-com O
行 I-com O
信 I-com O
用 I-com O
卡 I-com O
处 I-com O
资 B-pos O
深 I-pos O
副 I-pos B-pos
总 I-pos I-pos
经 I-pos I-pos
理 I-pos I-pos
邱 B-nam B-nam
丰 I-nam I-nam
凯 I-nam I-nam
认 O O
为 O O
， O O
开 O O
放 O O
银 O O
联 O O
卡 O O
后 O O
， O O


raw: tomaszewski是华沙有名的海报设计家、卡通画家。在家时，filip会旁观父母的创作，
sen pred gold
t B-nam B-nam
o I-nam I-nam
m I-nam I-nam
a I-nam I-nam
s I-nam I-nam
z I-nam I-nam
e I-nam I-nam
w I-nam I-nam
s I-nam I-nam
k I-nam I-nam
i I-nam I-nam
是 O O
华 B-add B-add
沙 I-add I-add
有 O O
名 O O
的 O O
海 B-pos O
报 I-pos O
设 I-pos B-pos
计 I-pos I-pos
家 I-pos I-pos
、 O O
卡 B-pos O
通 I-pos O
画 I-pos B-pos
家 I-pos I-pos
。 O O
在 O O
家 O O
时 O O
， O O
f B-nam B-nam
i I-nam I-nam
l I-nam I-nam
i I-nam I-nam
p I-nam I-nam
会 O O
旁 O O
观 O O
父 O O
母 O O
的 O O
创 O O
作 O O
， O O


raw: 河北钢铁还控股石钢，重组宣工机械，并以“渐进式股权融合”重组12家民营钢铁企业。
sen pred gold
河 B-com B-com
北 I-com I-com
钢 I-com I-com
铁 I-com I-com
还 O O
控 O O
股 O O
石 B-com B-com
钢 I-com I-com
， O O
重 O O
组 O O
宣 B-com O
工 I-com O
机 I-com O
械 I-com O
， O O
并 O O
以 O O
[UNK] O O
渐 O O
进 O O
式 O O
股 O O
权 O O
融 O O
合 O O
[UNK] O O
重 O O
组 O O
1 O O
2 O O
家 O O
民 O O
营 O O
钢 O O
铁 O O
企 O O
业 O O
。 O O


raw: 因产品亏损、投资理财顾问不专业引发的一系列媒体负面报道后，3月11日，新上任的渣打银行（中国）
sen pred gold
因 O O
产 O O
品 O O
亏 O O
损 O O
、 O O
投 B-pos B-pos
资 I-pos I-pos
理 I-pos I-pos
财 I-pos I-pos
顾 I-pos I-pos
问 I-pos I-pos
不 O O
专 O O
业 O O
引 O O
发 O O
的 O O
一 O O
系 O O
列 O O
媒 O O
体 O O
负 O O
面 O O
报 O O
道 O O
后 O O
， O O
3 O O
月 O O
1 O O
1 O O
日 O O
， O O
新 O O
上 O O
任 O O
的 O O
渣 B-com B-com
打 I-com I-com
银 I-com I-com
行 I-com I-com
（ I-com O
中 I-com O
国 I-com O
） I-com O


raw: 主持人：听完罗总的介绍，也就引出了润泽地产做客我们新浪嘉宾聊天室参与我们这个活动的意义。
sen pred gold
主 B-pos B-pos
持 I-pos I-pos
人 I-pos I-pos
： O O
听 O O
完 O O
罗 O O
总 O O
的 O O
介 O O
绍 O O
， O O
也 O O
就 O O
引 O O
出 O O
了 O O
润 B-com B-com
泽 I-com I-com
地 I-com I-com
产 I-com I-com
做 O O
客 O O
我 O O
们 O O
新 O B-com
浪 O I-com
嘉 O I-com
宾 O I-com
聊 O I-com
天 O I-com
室 O I-com
参 O O
与 O O
我 O O
们 O O
这 O O
个 O O
活 O O
动 O O
的 O O
意 O O
义 O O
。 O O


raw: 3.建立与同行业单位友好互助的学术交流氛围。索维娅国际艺术村将本着谦和包容，
sen pred gold
3 O O
. O O
建 O O
立 O O
与 O O
同 O O
行 O O
业 O O
单 O O
位 O O
友 O O
好 O O
互 O O
助 O O
的 O O
学 O O
术 O O
交 O O
流 O O
氛 O O
围 O O
。 O O
索 B-com B-add
维 I-com I-add
娅 I-com I-add
国 I-com I-add
际 I-com I-add
艺 I-com I-add
术 I-com I-add
村 I-com I-add
将 O O
本 O O
着 O O
谦 O O
和 O O
包 O O
容 O O
， O O


raw: Studios，这个曾因开发《帝国时代》系列而闻名的游戏小组将被重新编入微软其他的工作室，
sen pred gold
s B-org O
t I-org O
u I-org O
d I-org O
i I-org O
o I-org O
s I-org O
， O O
